z_m,O2_M,Fe2_M,Fe3_M,SO4_M,H_M,pH
2.437186,5.449944e-08,0.0003115947,7.1013135e-05,0.004635295,0.0066273394,2.1786609
2.4623115,5.4247764e-08,0.00031151267,7.101459e-05,0.004635609,0.006627596,2.178644
2.4874372,5.400549e-08,0.00031143078,7.101602e-05,0.004635923,0.0066278502,2.1786273
2.5125628,5.3772087e-08,0.0003113491,7.101741e-05,0.004636236,0.006628103,2.1786108
2.5376885,5.354699e-08,0.0003112677,7.1018796e-05,0.004636547,0.006628354,2.1785944
2.562814,5.332996e-08,0.0003111866,7.102016e-05,0.0046368567,0.006628603,2.178578
2.5879397,5.312054e-08,0.0003111058,7.1021495e-05,0.0046371645,0.0066288505,2.1785617
2.6130652,5.2918512e-08,0.00031102521,7.102282e-05,0.004637471,0.0066290963,2.1785457
2.638191,5.272338e-08,0.00031094503,7.102412e-05,0.0046377764,0.0066293394,2.1785297
2.6633165,5.253498e-08,0.00031086509,7.10254e-05,0.0046380796,0.006629582,2.1785138
2.6884422,5.2352895e-08,0.00031078557,7.102666e-05,0.0046383813,0.0066298223,2.178498
2.7135677,5.217696e-08,0.00031070632,7.102791e-05,0.004638683,0.0066300607,2.1784825
2.7386935,5.200683e-08,0.00031062742,7.102914e-05,0.004638983,0.0066302978,2.178467
2.763819,5.184234e-08,0.00031054902,7.103036e-05,0.0046392814,0.0066305324,2.1784515
2.7889447,5.1683106e-08,0.0003104709,7.1031565e-05,0.004639578,0.0066307643,2.1784365
2.8140702,5.152907e-08,0.00031039322,7.103275e-05,0.0046398737,0.0066309953,2.1784213
2.839196,5.1379907e-08,0.00031031598,7.103391e-05,0.004640169,0.006631224,2.1784062
2.8643217,5.1235375e-08,0.00031023906,7.1035065e-05,0.004640463,0.006631451,2.1783915
2.8894472,5.1095544e-08,0.0003101626,7.1036215e-05,0.0046407543,0.0066316756,2.1783767
2.914573,5.095993e-08,0.00031008656,7.1037335e-05,0.0046410454,0.006631898,2.1783621
2.9396985,5.0828454e-08,0.00031001098,7.1038456e-05,0.004641334,0.0066321185,2.1783478
2.9648242,5.0701136e-08,0.0003099358,7.103956e-05,0.0046416223,0.006632337,2.1783335
2.9899497,5.057757e-08,0.00030986106,7.1040646e-05,0.0046419105,0.0066325543,2.1783192
3.0150752,5.045771e-08,0.00030978676,7.104173e-05,0.004642195,0.0066327676,2.1783051
3.040201,5.0341452e-08,0.0003097129,7.1042785e-05,0.00464248,0.0066329804,2.1782913
3.0653267,5.0228525e-08,0.0003096395,7.104384e-05,0.0046427636,0.00663319,2.1782775
3.0904522,5.0119006e-08,0.00030956656,7.1044895e-05,0.0046430454,0.0066333967,2.1782641
3.1155777,5.0012687e-08,0.00030949415,7.104592e-05,0.004643326,0.006633602,2.1782506
